Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A10032_001,SE_A10032_002,SE_A10032_003,SE_A10032_004,SE_A10032_005,SE_A10032_006,SE_A10032_007,SE_A10032_008,SE_A10032_009,SE_A10032_010,SE_A10032_011,SE_A10032_012,PCT_SE_A10032_002,PCT_SE_A10032_003,PCT_SE_A10032_004,PCT_SE_A10032_005,PCT_SE_A10032_006,PCT_SE_A10032_007,PCT_SE_A10032_008,PCT_SE_A10032_009,PCT_SE_A10032_010,PCT_SE_A10032_011,PCT_SE_A10032_012
6037670500,14000US06037670500,Census Tract 6705,"Census Tract 6705, Los Angeles County, California",ca,140,0,ACSSF,5971,,,,,6,37,,,,670500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,729,729,722,7,0,0,0,0,0,0,0,0,100,99.04,0.96,0,0,0,0,0,0,0,0
6037670602,14000US06037670602,Census Tract 6706.02,"Census Tract 6706.02, Los Angeles County, California",ca,140,0,ACSSF,5972,,,,,6,37,,,,670602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3086,2475,2344,131,0,14,15,30,114,438,0,0,80.2,75.96,4.24,0,0.45,0.49,0.97,3.69,14.19,0,0
6037670701,14000US06037670701,Census Tract 6707.01,"Census Tract 6707.01, Los Angeles County, California",ca,140,0,ACSSF,5973,,,,,6,37,,,,670701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2513,2152,1864,288,0,12,122,17,120,90,0,0,85.63,74.17,11.46,0,0.48,4.85,0.68,4.78,3.58,0,0
6037670702,14000US06037670702,Census Tract 6707.02,"Census Tract 6707.02, Los Angeles County, California",ca,140,0,ACSSF,5974,,,,,6,37,,,,670702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2096,2096,2070,26,0,0,0,0,0,0,0,0,100,98.76,1.24,0,0,0,0,0,0,0,0
6037700101,14000US06037700101,Census Tract 7001.01,"Census Tract 7001.01, Los Angeles County, California",ca,140,0,ACSSF,5975,,,,,6,37,,,,700101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3870,456,359,97,235,300,857,1006,537,479,0,0,11.78,9.28,2.51,6.07,7.75,22.14,25.99,13.88,12.38,0,0
6037700102,14000US06037700102,Census Tract 7001.02,"Census Tract 7001.02, Los Angeles County, California",ca,140,0,ACSSF,5976,,,,,6,37,,,,700102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2937,325,246,79,54,0,1224,992,169,173,0,0,11.07,8.38,2.69,1.84,0,41.68,33.78,5.75,5.89,0,0
6037700200,14000US06037700200,Census Tract 7002,"Census Tract 7002, Los Angeles County, California",ca,140,0,ACSSF,5977,,,,,6,37,,,,700200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4568,397,297,100,106,131,735,1503,1254,442,0,0,8.69,6.5,2.19,2.32,2.87,16.09,32.9,27.45,9.68,0,0
6037700300,14000US06037700300,Census Tract 7003,"Census Tract 7003, Los Angeles County, California",ca,140,0,ACSSF,5978,,,,,6,37,,,,700300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4300,238,171,67,28,70,285,1260,1381,1038,0,0,5.53,3.98,1.56,0.65,1.63,6.63,29.3,32.12,24.14,0,0
6037700400,14000US06037700400,Census Tract 7004,"Census Tract 7004, Los Angeles County, California",ca,140,0,ACSSF,5979,,,,,6,37,,,,700400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3546,1065,906,159,73,173,1012,474,457,229,63,0,30.03,25.55,4.48,2.06,4.88,28.54,13.37,12.89,6.46,1.78,0
6037700501,14000US06037700501,Census Tract 7005.01,"Census Tract 7005.01, Los Angeles County, California",ca,140,0,ACSSF,5980,,,,,6,37,,,,700501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2869,437,298,139,219,215,343,623,592,440,0,0,15.23,10.39,4.84,7.63,7.49,11.96,21.71,20.63,15.34,0,0
6037700502,14000US06037700502,Census Tract 7005.02,"Census Tract 7005.02, Los Angeles County, California",ca,140,0,ACSSF,5981,,,,,6,37,,,,700502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3447,189,152,37,59,81,163,483,765,1707,0,0,5.48,4.41,1.07,1.71,2.35,4.73,14.01,22.19,49.52,0,0
6037700600,14000US06037700600,Census Tract 7006,"Census Tract 7006, Los Angeles County, California",ca,140,0,ACSSF,5982,,,,,6,37,,,,700600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2195,2104,2073,31,0,0,0,0,0,51,40,0,95.85,94.44,1.41,0,0,0,0,0,2.32,1.82,0
6037700700,14000US06037700700,Census Tract 7007,"Census Tract 7007, Los Angeles County, California",ca,140,0,ACSSF,5983,,,,,6,37,,,,700700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1340,1332,1315,17,0,0,0,0,0,0,8,0,99.4,98.13,1.27,0,0,0,0,0,0,0.6,0
6037700801,14000US06037700801,Census Tract 7008.01,"Census Tract 7008.01, Los Angeles County, California",ca,140,0,ACSSF,5984,,,,,6,37,,,,700801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3178,487,428,59,66,182,480,562,987,414,0,0,15.32,13.47,1.86,2.08,5.73,15.1,17.68,31.06,13.03,0,0
6037700802,14000US06037700802,Census Tract 7008.02,"Census Tract 7008.02, Los Angeles County, California",ca,140,0,ACSSF,5985,,,,,6,37,,,,700802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2266,230,230,0,132,193,634,460,353,264,0,0,10.15,10.15,0,5.83,8.52,27.98,20.3,15.58,11.65,0,0
6037700901,14000US06037700901,Census Tract 7009.01,"Census Tract 7009.01, Los Angeles County, California",ca,140,0,ACSSF,5986,,,,,6,37,,,,700901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1749,834,834,0,78,160,196,284,187,10,0,0,47.68,47.68,0,4.46,9.15,11.21,16.24,10.69,0.57,0,0
6037700902,14000US06037700902,Census Tract 7009.02,"Census Tract 7009.02, Los Angeles County, California",ca,140,0,ACSSF,5987,,,,,6,37,,,,700902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3756,539,472,67,387,383,1143,868,436,0,0,0,14.35,12.57,1.78,10.3,10.2,30.43,23.11,11.61,0,0,0
6037701000,14000US06037701000,Census Tract 7010,"Census Tract 7010, Los Angeles County, California",ca,140,0,ACSSF,5988,,,,,6,37,,,,701000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3075,908,877,31,365,279,507,616,245,155,0,0,29.53,28.52,1.01,11.87,9.07,16.49,20.03,7.97,5.04,0,0
6037701100,14000US06037701100,Census Tract 7011,"Census Tract 7011, Los Angeles County, California",ca,140,0,ACSSF,5989,,,,,6,37,,,,701100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,38,38,0,0,5,0,0,16,10,0,0,55.07,55.07,0,0,7.25,0,0,23.19,14.49,0,0
6037701201,14000US06037701201,Census Tract 7012.01,"Census Tract 7012.01, Los Angeles County, California",ca,140,0,ACSSF,5990,,,,,6,37,,,,701201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1716,1632,1609,23,0,18,60,6,0,0,0,0,95.1,93.76,1.34,0,1.05,3.5,0.35,0,0,0,0
6037701202,14000US06037701202,Census Tract 7012.02,"Census Tract 7012.02, Los Angeles County, California",ca,140,0,ACSSF,5991,,,,,6,37,,,,701202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1930,251,48,203,60,315,1088,183,23,10,0,0,13.01,2.49,10.52,3.11,16.32,56.37,9.48,1.19,0.52,0,0
6037701302,14000US06037701302,Census Tract 7013.02,"Census Tract 7013.02, Los Angeles County, California",ca,140,0,ACSSF,5992,,,,,6,37,,,,701302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3036,178,82,96,110,153,789,1316,471,19,0,0,5.86,2.7,3.16,3.62,5.04,25.99,43.35,15.51,0.63,0,0
6037701304,14000US06037701304,Census Tract 7013.04,"Census Tract 7013.04, Los Angeles County, California",ca,140,0,ACSSF,5993,,,,,6,37,,,,701304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3619,1333,1304,29,15,271,204,488,912,396,0,0,36.83,36.03,0.8,0.41,7.49,5.64,13.48,25.2,10.94,0,0
6037701402,14000US06037701402,Census Tract 7014.02,"Census Tract 7014.02, Los Angeles County, California",ca,140,0,ACSSF,5994,,,,,6,37,,,,701402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4543,165,47,118,0,228,322,1917,1306,581,24,0,3.63,1.03,2.6,0,5.02,7.09,42.2,28.75,12.79,0.53,0
6037701501,14000US06037701501,Census Tract 7015.01,"Census Tract 7015.01, Los Angeles County, California",ca,140,0,ACSSF,5995,,,,,6,37,,,,701501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2915,352,232,120,47,242,853,930,408,83,0,0,12.08,7.96,4.12,1.61,8.3,29.26,31.9,14,2.85,0,0
6037701502,14000US06037701502,Census Tract 7015.02,"Census Tract 7015.02, Los Angeles County, California",ca,140,0,ACSSF,5996,,,,,6,37,,,,701502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2049,93,54,39,7,116,674,777,263,119,0,0,4.54,2.64,1.9,0.34,5.66,32.89,37.92,12.84,5.81,0,0
6037701601,14000US06037701601,Census Tract 7016.01,"Census Tract 7016.01, Los Angeles County, California",ca,140,0,ACSSF,5997,,,,,6,37,,,,701601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1890,937,838,99,67,303,278,221,84,0,0,0,49.58,44.34,5.24,3.54,16.03,14.71,11.69,4.44,0,0,0
6037701602,14000US06037701602,Census Tract 7016.02,"Census Tract 7016.02, Los Angeles County, California",ca,140,0,ACSSF,5998,,,,,6,37,,,,701602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2115,361,214,147,43,446,639,364,230,32,0,0,17.07,10.12,6.95,2.03,21.09,30.21,17.21,10.87,1.51,0,0
